year,avg_cpi,inflation_rate
2010,218.076166666667,1.63656955012788
2011,224.923,3.1396522774535
2012,229.586083333333,2.07319097350351
2013,232.95175,1.46597155097596
2014,236.715,1.61546328799849
2015,237.00175,0.121137232537016
2016,240.005416666667,1.26736054339964
2017,245.121,2.13144495002717
2018,251.0995,2.43899951452549
2019,255.652583333333,1.81325862191417
2020,258.846166666667,1.24918875909394
2021,270.965833333333,4.68218897066921
2022,292.620583333333,7.99169021924657
2023,304.70075,4.12826962787707
2024,312.513125,2.56395003950596
