,Date ,Adj_Close,Inflation_Rate,dolar,Adj_inflation
0,2024-12-31,660.3596,2.119,6603.596,6463.66580076
1,2025-12-31,666.20465,2.1932,6662.0465,6515.934496162
2,2026-12-31,675.2835,2.2311,6752.835,6602.172498315
3,2027-12-31,687.26556,2.2384,6872.6556,6718.8180770496
4,2028-12-31,701.99805,2.2461,7019.9805,6862.3047179895
5,2029-12-31,719.47614,2.2479,7194.7614,7033.0303584894
6,2030-12-31,739.80566,2.2366,7398.0566,7232.5916660844
7,2031-12-31,763.325,2.234,7633.25,7462.723195
8,2032-12-31,790.64056,2.2096,7906.4056,7731.7056618624
9,2033-12-31,822.1108,2.171,8221.108,8042.62774532
10,2034-12-31,858.5244,2.1281,8585.244,8402.541422436
11,2035-12-31,900.94073,2.0933,9009.4073,8820.8133769891
12,2036-12-31,950.78204,2.0653,9507.8204,9311.4553852788
13,2037-12-31,1009.9772,1.9965,10099.772,9898.13005202
14,2038-12-31,1081.1809,1.8959,10811.809,10606.827913169
